Date,AAPL,AUTO.L,MU,NVDA,OCDO.L,SGE.L,TSM
2025-02-04,231.3220672607422,788.4804077148438,90.31201171875,118.47305297851562,302.0,1340.11376953125,200.3023223876953
2025-02-05,230.99417114257812,797.0791625976562,93.24073028564453,124.64382934570312,311.0,1328.6170654296875,204.73931884765625
2025-02-06,231.73941040039062,783.68115234375,94.1771240234375,128.4880828857422,325.0,1326.1177978515625,206.6338653564453
2025-02-07,226.1848907470703,775.682373046875,91.94573211669922,129.6463623046875,327.70001220703125,1318.1201171875,202.33432006835938
2025-02-10,226.45347595214844,780.881591796875,95.56178283691406,133.3708038330078,332.3999938964844,1321.119140625,204.13070678710938
2025-02-11,231.3973388671875,777.4821166992188,93.71887969970703,132.6019744873047,327.5,1315.120849609375,204.90618896484375
2025-02-12,235.62501525878906,774.2825927734375,91.32809448242188,130.94442749023438,312.5,1318.6199951171875,202.58953857421875
2025-02-13,240.26052856445312,787.0806274414062,95.2928237915039,135.08824157714844,316.70001220703125,1314.62109375,198.12310791015625
2025-02-14,243.3143768310547,781.2815551757812,99.13800048828125,138.6429443359375,315.20001220703125,1317.120361328125,200.1550750732422
2025-02-17,243.3143768310547,785.2808837890625,99.13800048828125,138.6429443359375,312.70001220703125,1324.1182861328125,200.1550750732422
2025-02-18,243.18505859375,779.2818603515625,106.3801040649414,139.19212341308594,304.8999938964844,1320.619384765625,199.0164031982422
2025-02-19,243.5829620361328,769.2833251953125,103.95941925048828,139.02235412597656,302.3999938964844,1319.1197509765625,197.25927734375
2025-02-20,244.5379180908203,765.683837890625,102.7839584350586,139.90106201171875,302.5,1303.6241455078125,196.42486572265625
2025-02-21,244.25936889648438,772.2828979492188,98.46060943603516,134.22950744628906,309.29998779296875,1297.6259765625,194.59902954101562
2025-02-24,245.80123901367188,782.4812622070312,95.04378509521484,130.08570861816406,312.0,1282.6302490234375,188.1300811767578
2025-02-25,245.74156188964844,785.4808349609375,92.86219024658203,126.44115447998047,323.79998779296875,1265.63525390625,185.89193725585938
2025-02-26,239.09666442871094,788.680419921875,97.33494567871094,131.084228515625,333.20001220703125,1285.1295166015625,191.04551696777344
2025-02-27,236.05276489257812,776.0823364257812,91.46755981445312,119.97081756591797,273.0,1265.13525390625,177.76400756835938
2025-02-28,240.5688934326172,775.4823608398438,93.2706069946289,124.73371124267578,259.79998779296875,1264.635498046875,177.2143096923828
